date,stock_id,type,value,origin_name,report,stock_name,industry
2020-12-31,6508,OperatingExpenses,39444000.0,營業費用,IncomeStatement,惠光,農業科技業
2020-12-31,6508,OTHNOE,1193000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2020-12-31,6508,OperatingIncome,20375000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,TotalNonoperatingIncomeAndExpense,-18547000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2020-12-31,6508,OtherComprehensiveIncome,18692000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,EquityAttributableToOwnersOfParent,6450000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2021-03-31,6508,PreTaxIncome,72366000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,TAX,15360000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,IncomeFromContinuingOperations,57006000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,IncomeAfterTaxes,57006000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,TotalConsolidatedProfitForThePeriod,48931000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2021-03-31,6508,EPS,0.67,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,Revenue,525538000.0,營業收入,IncomeStatement,惠光,農業科技業
2021-03-31,6508,CostOfGoodsSold,350185000.0,營業成本,IncomeStatement,惠光,農業科技業
2021-03-31,6508,OperatingExpenses,90481000.0,營業費用,IncomeStatement,惠光,農業科技業
2021-03-31,6508,OTHNOE,1185000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2021-03-31,6508,OperatingIncome,86057000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,TotalNonoperatingIncomeAndExpense,-13691000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2021-03-31,6508,OtherComprehensiveIncome,-8075000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2021-03-31,6508,EquityAttributableToOwnersOfParent,57006000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2021-03-31,6508,GrossProfit,175353000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,PreTaxIncome,310767000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,TAX,110270000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,IncomeFromContinuingOperations,200497000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,IncomeAfterTaxes,200497000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,TotalConsolidatedProfitForThePeriod,185944000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2021-06-30,6508,EPS,2.34,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,Revenue,562899000.0,營業收入,IncomeStatement,惠光,農業科技業
2021-06-30,6508,CostOfGoodsSold,389628000.0,營業成本,IncomeStatement,惠光,農業科技業
2021-06-30,6508,OperatingExpenses,105813000.0,營業費用,IncomeStatement,惠光,農業科技業
2021-06-30,6508,OTHNOE,129000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2021-06-30,6508,OperatingIncome,67587000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,TotalNonoperatingIncomeAndExpense,243180000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2021-06-30,6508,OtherComprehensiveIncome,-14553000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,GrossProfit,173271000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2021-06-30,6508,EquityAttributableToOwnersOfParent,200497000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2021-09-30,6508,PreTaxIncome,42208000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-09-30,6508,TAX,8919000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2021-09-30,6508,IncomeFromContinuingOperations,33289000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-09-30,6508,IncomeAfterTaxes,33289000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
